Tm,R/G,ROE,XI,RS%,SBO,SB,CS,SB%,SB2,CS2,SB3,CS3,SBH,CSH,PO,PCS,OOB,OOB1,OOB2,OOB3,OOBHm,BT,XBT%,1stS,1stS2,1stS3,1stD,1stD3,1stDH,2ndS,2ndS3,2ndSH
ARI,5.02,47,1,32%,2230,88,14,86%,84,12,3,1,1,1,6,2,39,5,13,14,7,152,44%,272,168,101,93,60,33,164,61,100
ATL,5.28,50,3,32%,2360,89,28,76%,81,24,8,3,0,1,11,6,54,12,18,12,12,138,45%,282,196,82,95,46,48,181,51,120
BAL,4.50,57,1,30%,2149,84,30,74%,72,24,11,5,1,1,18,10,58,6,17,20,15,154,40%,275,190,81,72,38,31,145,54,85
BOS,5.56,67,2,33%,2379,68,30,69%,59,26,9,4,0,0,8,3,45,7,13,8,17,194,44%,286,174,109,116,67,44,180,70,103
CHC,5.02,44,1,31%,2134,45,24,65%,38,17,7,3,0,4,10,2,64,11,17,16,20,147,44%,280,166,111,96,64,30,130,43,83
CHW,4.40,62,1,30%,2200,63,28,69%,54,23,9,4,0,1,12,6,48,9,15,9,15,161,40%,319,219,97,68,40,24,171,60,101
CIN,4.33,45,6,28%,2124,80,38,68%,73,33,7,4,0,1,17,11,55,8,18,7,22,116,38%,265,186,74,72,45,24,173,63,98
CLE,4.75,45,0,31%,2157,103,35,75%,92,28,10,5,1,2,9,4,42,3,20,4,15,160,42%,240,168,69,91,55,33,154,48,103
COL,5.15,51,2,34%,2264,71,31,70%,63,31,8,0,0,0,16,12,59,5,23,15,16,163,46%,289,200,86,92,42,48,172,43,121
DET,3.61,50,0,26%,2158,57,20,74%,54,20,3,0,0,0,8,1,54,6,19,12,17,148,42%,245,174,70,75,44,28,163,45,104
HOU,5.68,45,3,32%,2411,67,27,71%,58,24,8,2,1,1,12,6,46,3,17,12,14,197,33%,300,227,70,108,61,44,154,77,71
KCR,4.27,57,3,31%,2094,117,39,75%,84,31,32,5,1,3,20,15,48,6,8,18,16,118,40%,280,202,75,76,36,39,148,57,85
LAA,4.75,51,10,30%,2188,65,20,76%,61,19,4,1,0,0,7,3,39,9,12,9,9,181,37%,287,210,74,94,59,34,166,68,95
LAD,5.47,47,1,33%,2316,57,10,85%,52,10,4,0,1,0,5,2,49,14,13,9,13,143,40%,264,181,82,83,50,33,172,70,93
MIA,3.80,56,1,28%,2080,55,30,65%,49,25,6,1,0,4,8,4,50,7,16,12,15,97,36%,272,203,67,91,50,38,163,69,83
MIL,4.75,39,8,28%,2237,101,25,80%,79,18,22,5,0,2,6,1,40,4,11,6,19,151,39%,260,181,77,97,58,34,153,59,90
MIN,5.80,50,3,34%,2325,28,21,57%,27,20,1,0,0,1,8,4,57,6,14,16,21,154,40%,301,207,90,104,67,31,171,60,108
NYM,4.88,52,0,30%,2272,56,27,67%,52,25,4,1,0,1,7,3,50,6,16,13,15,118,38%,294,207,83,91,60,30,171,68,96
NYY,5.82,43,1,35%,2223,55,22,71%,46,20,9,1,0,1,10,3,48,6,14,15,13,152,40%,301,210,88,96,64,32,190,68,115
OAK,5.22,54,0,33%,2279,49,21,70%,43,20,6,1,0,0,7,5,39,4,16,7,12,144,42%,276,201,72,83,42,39,144,40,100
PHI,4.78,52,3,31%,2184,78,18,81%,65,15,12,1,1,2,2,1,36,7,9,10,10,151,40%,254,173,78,98,62,35,164,62,91
PIT,4.68,64,2,32%,2279,64,29,69%,58,29,6,0,0,0,13,8,60,2,26,9,23,120,42%,298,205,93,104,48,50,166,58,96
SDP,4.21,48,1,28%,2089,70,37,65%,60,31,9,4,1,2,13,3,56,10,21,13,12,119,45%,229,146,79,61,36,23,140,46,92
SEA,4.68,47,2,30%,2160,115,47,71%,104,42,10,3,1,2,18,9,44,9,12,10,13,147,40%,252,174,75,80,53,25,162,64,95
SFG,4.19,60,0,30%,2202,47,28,63%,43,21,4,5,0,2,9,7,46,5,14,13,14,123,41%,258,186,69,92,48,39,146,48,94
STL,4.72,66,2,31%,2242,116,29,80%,93,24,23,5,0,0,11,3,47,9,9,16,13,151,43%,280,181,92,81,42,38,166,63,96
TBR,4.75,48,0,30%,2316,94,37,72%,82,30,10,4,2,3,20,6,59,8,17,12,22,139,41%,301,208,86,89,45,42,160,55,98
TEX,5.00,70,2,33%,2168,131,38,78%,107,33,20,5,4,0,12,6,51,11,12,7,21,166,41%,247,174,71,79,47,27,166,57,103
TOR,4.48,43,2,29%,2065,51,20,72%,40,16,10,3,1,1,8,4,47,8,19,13,7,137,38%,229,168,57,86,58,27,141,49,87
WSN,5.39,48,0,34%,2277,116,29,80%,97,26,18,3,1,0,11,3,47,8,9,11,19,166,41%,305,205,96,88,49,34,168,64,97
LgAvg,4.83,52,2,31%,2219,76,28,73%,66,24,10,3,1,1,11,5,49,7,15,12,15,147,41%,275,190,82,88,51,35,161,58,97
,4.83,1558,61,31%,66562,2280,832,73%,1970,717,293,79,17,36,322,153,1477,214,458,348,457,4407,41%,8241,5690,2454,2651,1536,1037,4844,1740,2903