Tm,RA/G,PA,H,Inf,Bnt,All,GS,GSo,vRH,vLH,Hm,Rd,<23B,Scr,SO,%,ROE,WP,PB,SBO,SB,CS,SB%,SB2,CS2,SB3,CS3,SBH,CSH,PO,PCS,BT,PAu
ARI,4.59,6230,1400,149,17,220,6,165,132,88,110,110,299,163,62,55%,41,49,6,2131,47,31,60%,43,29,4,1,0,1,14,11,122,0
ATL,4.59,6243,1421,167,14,203,4,164,123,80,97,106,308,147,57,48%,42,70,24,2274,76,20,,67,17,8,1,1,2,9,3,157,0
BAL,6.06,6396,1544,163,12,305,5,146,193,112,175,130,324,184,54,57%,59,75,16,2336,82,25,,74,20,8,2,0,3,6,4,177,0
BOS,5.11,6400,1423,158,10,215,5,174,126,89,97,118,325,166,66,51%,47,81,15,2332,70,31,,62,26,7,4,1,1,7,5,172,0
CHC,4.43,6190,1376,152,14,195,3,156,132,63,87,108,311,175,57,56%,55,60,10,2208,91,25,78%,81,19,10,5,0,1,14,5,164,0
CHW,5.17,6159,1438,140,13,238,5,186,153,85,141,97,354,177,70,50%,63,71,13,2245,76,26,75%,66,24,10,2,0,0,5,3,169,0
CIN,4.39,6057,1270,119,15,214,8,123,103,111,116,98,262,119,69,45%,44,35,10,2048,88,26,77%,76,19,11,6,1,1,3,2,106,0
CLE,4.06,6008,1308,123,6,207,4,123,110,97,113,94,250,118,59,47%,43,42,2,2061,53,28,65%,44,23,8,5,1,0,12,2,95,0
COL,5.91,6423,1576,138,7,270,2,154,166,104,144,126,379,219,50,58%,57,63,8,2371,75,30,71%,66,26,9,3,0,1,7,4,151,0
DET,5.68,6341,1555,165,14,250,6,139,174,76,145,105,342,171,71,50%,59,66,16,2330,97,37,72%,78,33,18,3,1,1,12,11,164,0
HOU,3.95,5995,1205,126,6,230,4,117,124,106,132,98,239,124,47,52%,34,41,7,1911,75,17,82%,73,17,2,0,0,0,5,1,106,0
KCR,5.36,6307,1525,171,8,221,6,175,132,89,101,120,378,213,54,56%,42,59,10,2446,57,27,68%,50,24,6,3,1,0,7,3,153,0
LAA,5.36,6289,1417,147,13,267,3,125,171,96,137,130,294,151,61,51%,50,98,11,2245,99,35,,86,31,12,2,1,2,19,11,204,0
LAD,3.78,5913,1201,127,21,185,6,107,109,76,103,82,263,137,50,52%,60,40,11,1957,63,17,,58,16,5,0,0,1,6,4,115,0
MIA,4.99,6247,1340,128,16,236,4,152,136,100,105,131,308,167,37,54%,45,71,13,2232,57,24,70%,50,21,6,2,1,1,5,3,180,0
MIL,4.73,6251,1364,173,12,225,6,157,133,92,115,110,306,151,64,49%,54,41,10,2227,94,34,73%,78,29,16,4,0,1,4,3,114,0
MIN,4.65,6246,1456,151,18,198,6,130,134,64,98,100,333,159,83,48%,59,71,15,2253,71,16,82%,59,14,11,1,1,1,11,4,175,0
NYM,4.55,6232,1405,146,13,204,1,149,124,80,97,107,332,166,76,50%,52,47,14,2241,139,22,,124,21,15,1,0,0,3,1,113,0
NYY,4.56,6133,1374,162,9,248,6,114,163,85,114,134,239,122,48,51%,48,55,13,2178,71,24,,61,22,10,1,0,1,5,4,145,0
OAK,4.20,6153,1342,140,15,201,4,136,106,95,89,112,271,146,48,54%,49,74,19,2157,83,41,67%,69,33,11,7,3,1,16,13,178,0
PHI,4.90,6274,1452,159,12,258,7,152,145,113,132,126,301,160,54,53%,58,45,11,2270,66,50,57%,60,44,5,3,1,3,11,6,136,0
PIT,5.62,6391,1511,159,18,241,8,177,133,108,122,119,352,194,76,55%,61,50,17,2387,71,29,71%,58,23,13,2,0,4,7,3,142,0
SDP,4.87,6160,1394,166,9,215,8,134,132,83,101,114,294,165,54,56%,57,60,6,2213,58,18,76%,51,15,7,3,0,0,6,2,125,0
SEA,5.51,6268,1484,149,16,260,5,150,166,94,134,126,331,188,57,57%,77,75,6,2187,83,26,76%,72,22,10,4,1,0,6,5,169,0
SFG,4.77,6256,1395,158,13,227,6,134,159,68,98,129,290,152,66,52%,54,53,7,2206,88,33,,76,30,10,2,2,1,9,9,117,0
STL,4.09,6068,1284,112,6,191,7,143,106,85,93,98,276,141,52,51%,39,46,6,2185,34,19,64%,29,18,5,0,0,1,5,2,122,0
TBR,4.05,6086,1274,158,22,181,6,123,115,66,90,91,299,134,80,45%,52,59,16,2032,75,35,68%,63,29,12,4,0,2,8,7,153,0
TEX,5.42,6354,1515,165,18,241,5,179,161,80,125,116,343,183,67,53%,54,68,11,2402,81,26,76%,64,23,16,1,1,2,12,6,176,0
TOR,5.11,6313,1450,154,9,228,4,159,120,108,134,94,347,176,56,51%,54,70,9,2341,74,36,67%,58,32,16,1,0,3,12,6,161,0
WSN,4.47,6134,1340,128,7,202,4,142,116,86,112,90,282,151,60,54%,49,53,16,2156,86,24,78%,74,17,12,6,0,1,11,6,146,0
LgAvg,4.83,6217,1401,148,13,226,5,146,137,89,115,111,308,161,60,52%,52,60,12,2219,76,28,,66,24,10,3,1,1,9,5,147,0
,4.83,186517,42039,4453,383,6776,154,4385,4097,2679,3457,3319,9232,4819,1805,52%,1558,1788,348,66562,2280,832,,1970,717,293,79,17,36,257,149,4407,0